step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
25.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
35.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
40.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
50.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
55.0,0,0.0,0.0,10.0,0,0.0,0.8779893341855682,0,0.0,False,,
60.0,0,0.0,0.0,10.975206144167894,0,0.0,0.9636113935067326,0,0.0,False,,
65.0,0,0.0,0.0,11.140756511026845,0,0.0,0.9781465391439994,0,0.0,False,,
70.0,1,1.0,1.0,0.02768640015103874,1,1.0,0.002430836403460572,1,1.0,False,,
75.0,1,6.0,6.0,0.0,1,6.0,0.0,1,6.0,False,,
80.0,1,11.0,11.0,0.0,1,11.0,0.0,1,11.0,False,,
85.0,1,16.0,16.0,0.0,1,16.0,0.0,1,16.0,False,,
90.0,0,0.0,0.0,2.1444982858374715,0,0.0,1.0,0,0.0,False,,
95.0,0,0.0,0.0,6.055453949142247,0,0.0,1.0,0,0.0,False,,
100.0,0,0.0,0.0,9.823104691691697,0,0.0,0.7177735811949064,0,0.0,False,,
105.0,0,0.0,0.0,12.429923277920167,0,0.0,0.9702515971659351,0,0.0,False,,
110.0,0,0.0,0.0,10.73042903677857,0,0.0,0.7702018477486364,0,0.0,False,,
115.0,1,2.0,2.0,0.0017436305866892128,1,2.0,0.0001251531970488892,1,2.0,False,,
120.0,1,7.0,7.0,0.0,1,7.0,0.0,1,7.0,False,,
125.0,1,12.0,12.0,0.0,1,12.0,0.0,1,12.0,False,,
130.0,1,17.0,17.0,0.0,1,17.0,0.0,1,17.0,False,,
135.0,1,22.0,22.0,0.0,1,22.0,0.0,1,22.0,False,,
140.0,1,27.0,27.0,0.0,1,27.0,0.0,1,27.0,False,,
145.0,1,32.0,10.666666666666666,7.018198424933615,1,32.0,0.5837735191037818,1,32.0,False,,
150.0,0,0.0,0.0,8.830328032661166,0,0.0,0.9819127808692165,0,0.0,False,,
155.0,0,0.0,0.0,10.134102087172618,0,0.0,0.9549132685702157,0,0.0,False,,
160.0,1,2.0,0.5,9.378837333104258,1,2.0,0.49489605668491005,1,2.0,False,,
165.0,1,7.0,1.75,10.309969588925512,1,7.0,0.4983167656045033,1,7.0,False,,
170.0,2,13.0,6.5,0.005154584126778163,2,13.0,0.000383369575535713,2,13.0,False,,
175.0,0,0.0,0.0,5.779776904233173,0,0.0,0.976562487751106,0,0.0,False,,
180.0,0,0.0,0.0,8.440247744948355,0,0.0,0.9594937578288973,0,0.0,False,,
185.0,0,0.0,0.0,7.536899022753574,0,0.0,0.1272725892009802,0,0.0,False,,
190.0,1,3.0,0.75,8.99110676535259,1,3.0,0.42624763509157243,1,3.0,False,,
195.0,1,8.0,4.0,7.428450674692933,1,8.0,0.4948799998596281,1,8.0,False,,
200.0,1,13.0,4.333333333333333,8.807553844255594,1,13.0,0.4341355265943373,1,13.0,False,,
205.0,1,18.0,6.0,9.328642704530134,1,18.0,0.49233544218065556,1,18.0,False,,
210.0,1,23.0,7.666666666666667,4.384560699800182,1,23.0,0.30376903341860356,1,23.0,False,,
215.0,0,0.0,0.0,6.219353503532063,0,0.0,0.9491724751766247,0,0.0,False,,
220.0,0,0.0,0.0,8.10746101928624,0,0.0,0.6957672113141722,0,0.0,False,,
225.0,1,2.0,0.5,8.58376482949152,1,2.0,0.49384028616165104,1,2.0,False,,
230.0,1,7.0,1.4,7.847578582761052,1,7.0,0.329013577012561,1,7.0,False,,
235.0,2,16.0,4.0,6.535401540619478,2,16.0,0.44637702268281837,2,16.0,False,,
240.0,2,26.0,5.2,5.164625629237136,2,26.0,0.3396931100900452,2,26.0,False,,
245.0,3,41.0,8.2,3.00623048876137,3,41.0,0.1900957756920179,3,41.0,False,,
250.0,4,60.0,8.571428571428571,4.011883544165157,4,60.0,0.27661660170118424,4,60.0,False,,
255.0,5,83.0,11.857142857142858,4.01578452522263,5,83.0,0.28360352970026553,5,83.0,False,,
260.0,5,108.0,15.428571428571429,2.8043670775923295,5,108.0,0.06584466302728284,5,108.0,False,,
265.0,3,101.0,10.1,5.213515259615262,3,115.0,0.3369321153827429,3,115.0,False,,
270.0,3,116.0,10.545454545454545,7.108537923740164,3,119.0,0.5528322759268623,3,119.0,False,,
275.0,1,3.0,0.2727272727272727,6.464162830977867,1,82.0,0.40614296604114625,1,82.0,False,,
280.0,4,18.0,1.3846153846153846,6.496089334383884,4,55.0,0.3150530621756232,4,55.0,False,,
285.0,4,38.0,3.4545454545454546,6.834391276486866,4,41.0,0.3317733180929981,4,41.0,False,,
290.0,4,47.0,4.7,5.211869945138649,4,50.0,0.026767761048427242,4,50.0,False,,
295.0,5,71.0,8.875,4.057701536223375,5,74.0,3.2121210641013215e-06,5,74.0,False,,
300.0,5,96.0,13.714285714285714,2.9791489931144937,5,99.0,0.1659620380915451,5,99.0,False,,
305.0,2,46.0,6.571428571428571,4.367614317965092,2,72.0,0.26495473106871426,2,72.0,False,,
310.0,2,56.0,9.333333333333334,4.769459584045298,2,56.0,0.32335479249216487,2,56.0,False,,
315.0,1,40.0,5.714285714285714,6.45095303780126,1,40.0,0.28740686507987406,1,40.0,False,,
320.0,1,45.0,5.0,9.718128766432727,1,45.0,0.6216652857412562,1,45.0,False,,
325.0,1,50.0,6.25,10.267478279142232,1,50.0,0.6966552386137115,1,50.0,False,,
330.0,1,55.0,6.111111111111111,10.790795024485924,1,55.0,0.7036642518612112,1,55.0,False,,
335.0,2,63.0,7.875,8.63422746338389,2,63.0,0.45318448229537456,2,63.0,False,,
340.0,1,65.0,8.125,7.133515998647828,1,65.0,0.38168144491390094,1,65.0,False,,
345.0,1,70.0,11.666666666666666,6.42609286567064,1,70.0,0.4537615144200785,1,70.0,False,,
350.0,4,82.0,11.714285714285714,4.433497285434141,4,82.0,0.1778987139124831,4,82.0,False,,
355.0,4,102.0,12.75,6.386916979947526,4,102.0,0.28386868573680263,4,102.0,False,,
360.0,5,124.0,17.714285714285715,3.7339614482279493,5,124.0,0.2721134829438744,5,124.0,False,,
365.0,3,114.0,12.666666666666666,4.312017501256231,3,128.0,0.3488589520001321,3,128.0,False,,
370.0,3,129.0,10.75,6.220930268931508,3,129.0,0.4409746379208438,3,129.0,False,,
375.0,3,144.0,11.076923076923077,7.84597547143619,3,144.0,0.5209887444574128,3,144.0,False,,
380.0,4,160.0,10.666666666666666,6.475085869523345,4,160.0,0.2988308159364207,4,160.0,False,,
385.0,8,193.0,12.866666666666667,5.632984351771651,8,193.0,0.29162610260865934,8,193.0,False,,
390.0,9,234.0,15.6,4.443525934076855,9,234.0,0.2695192660974834,9,234.0,False,,
395.0,7,240.0,14.117647058823529,5.017537227056071,7,264.0,0.28464807785066165,7,264.0,False,,
400.0,8,280.0,17.5,5.463998166153119,8,292.0,0.2051409894094083,8,292.0,False,,
405.0,8,320.0,16.842105263157894,6.527477861803994,8,320.0,0.30293151639156374,8,320.0,False,,
410.0,8,360.0,22.5,6.0345109425649115,8,360.0,0.2668802388558645,8,360.0,False,,
415.0,9,402.0,26.8,4.896290869969983,9,402.0,0.17536080623067243,9,402.0,False,,
420.0,9,447.0,34.38461538461539,3.572459157719867,9,447.0,0.16540533632005278,9,447.0,False,,
425.0,9,492.0,37.84615384615385,3.7289378077170516,9,492.0,0.09984456143094637,9,492.0,False,,
430.0,4,260.0,20.0,3.3245936383136723,4,411.0,0.1413792596773472,4,411.0,False,,
435.0,1,160.0,13.333333333333334,4.692651992200887,1,317.0,0.24712505128021262,1,317.0,False,,
440.0,1,165.0,12.692307692307692,7.253663738828802,1,227.0,0.4159287064428987,1,227.0,False,,
445.0,1,170.0,11.333333333333334,10.600086462095705,1,170.0,0.6831446808108486,1,170.0,False,,
450.0,1,175.0,14.583333333333334,10.844763800336525,1,175.0,0.6275657557196109,1,175.0,False,,
455.0,2,185.0,20.555555555555557,9.768674096397309,2,185.0,0.4627895070637189,2,185.0,False,,
460.0,2,13.0,1.625,6.90144032528749,2,13.0,0.3409371496034336,2,13.0,False,,
465.0,3,28.0,3.111111111111111,6.935860743731209,3,28.0,0.5116957023295898,3,28.0,False,,
470.0,1,2.0,0.16666666666666666,7.696841789192398,1,10.0,0.6374690808797427,1,10.0,False,,
475.0,1,7.0,0.5833333333333334,7.625946052844644,1,7.0,0.574480752378025,1,7.0,False,,
480.0,6,21.0,1.6153846153846154,5.396010575180939,6,21.0,0.2788695272689412,6,21.0,False,,
485.0,6,51.0,3.4,7.419723981409488,6,51.0,0.3824760689127533,6,51.0,False,,
490.0,4,58.0,4.461538461538462,5.709631839243224,4,67.0,0.4233497542498709,4,67.0,False,,
495.0,5,83.0,5.1875,7.280430040798755,5,83.0,0.5248934349141217,5,83.0,False,,
500.0,1,10.0,0.5555555555555556,8.177436554340224,1,52.0,0.5762055398912836,1,52.0,False,,
505.0,2,4.0,0.2,8.454836319110575,2,34.0,0.5752477452375774,2,34.0,False,,
510.0,5,22.0,1.2941176470588236,6.416269420059065,5,22.0,0.30250296623783457,5,22.0,False,,
515.0,2,15.0,0.6521739130434783,7.463967362520686,2,30.0,0.4149061159936628,2,30.0,False,,
520.0,3,26.0,1.4444444444444444,8.339004221766443,3,33.0,0.5736087751699386,3,33.0,False,,
525.0,6,38.0,2.533333333333333,3.7539780240724125,6,45.0,0.08025557899690043,6,45.0,False,,
530.0,9,79.0,4.157894736842105,5.996889504769847,9,86.0,0.22755138231640884,9,86.0,False,,
535.0,5,79.0,4.9375,5.7981761592195955,5,100.0,0.37850980490096015,5,100.0,False,,
