step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
25.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
35.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
40.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
50.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
55.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
65.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
70.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
75.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
80.0,0,0.0,0.0,10.0,0,0.0,0.6971167252244715,0,0.0,False,,
85.0,0,0.0,0.0,13.242278908728622,0,0.0,0.9231414107361986,0,0.0,False,,
90.0,0,0.0,0.0,11.684331072506863,0,0.0,0.8128496278075332,0,0.0,False,,
95.0,1,2.0,0.6666666666666666,8.238465842121476,1,2.0,0.6501839502642619,1,2.0,False,,
100.0,1,7.0,2.3333333333333335,8.277179196440448,1,7.0,0.4899476388866653,1,7.0,False,,
105.0,1,12.0,3.0,6.581748742195941,1,12.0,0.3302812006091968,1,12.0,False,,
110.0,2,22.0,5.5,5.761258751070622,2,22.0,0.44783939942386497,2,22.0,False,,
115.0,2,32.0,8.0,6.04395734371637,2,32.0,0.46799714497842926,2,32.0,False,,
120.0,3,44.0,11.0,1.3130295464495896,3,44.0,0.09915457521268772,3,44.0,False,,
125.0,4,63.0,12.6,2.1012647165451197,4,63.0,0.14976235733351956,4,63.0,False,,
130.0,4,83.0,16.6,2.7520244298174683,4,83.0,0.19614361903270894,4,83.0,False,,
135.0,4,103.0,20.6,1.3554470939891194,4,103.0,0.09660608225052274,4,103.0,False,,
140.0,5,126.0,21.0,2.141907413175049,5,126.0,0.14852463303172606,5,126.0,False,,
145.0,4,143.0,23.833333333333332,2.690083028280642,4,143.0,0.19369099911386606,4,143.0,False,,
150.0,4,163.0,27.166666666666668,3.2631102415981394,4,163.0,0.0,4,163.0,False,,
155.0,4,183.0,30.5,3.845059051234275,4,183.0,0.0,4,183.0,False,,
160.0,4,203.0,40.6,2.4937106094555928,4,203.0,0.0,4,203.0,False,,
165.0,4,223.0,44.6,2.3452646458055826,4,223.0,0.16998194160569383,4,223.0,False,,
170.0,4,243.0,40.5,4.238325570509514,4,243.0,0.30539916999186173,4,243.0,False,,
175.0,4,263.0,43.833333333333336,4.515571240835836,4,263.0,0.19739031657380776,4,263.0,False,,
180.0,4,283.0,40.42857142857143,3.8203279467447553,4,283.0,0.1519895101755241,4,283.0,False,,
185.0,5,307.0,43.857142857142854,2.962782391869673,5,307.0,0.1947619409726662,5,307.0,False,,
190.0,1,9.0,1.125,4.302832540463315,1,147.0,0.3441002715601787,1,147.0,False,,
195.0,1,14.0,1.5555555555555556,5.868022453772383,1,15.0,0.4878444417326975,1,15.0,False,,
200.0,4,26.0,2.6,5.601170179645637,4,27.0,0.28502860111880707,4,27.0,False,,
205.0,4,46.0,4.6,6.971214355290007,4,47.0,0.3114191649972918,4,47.0,False,,
210.0,5,68.0,7.555555555555555,4.635319998286169,5,69.0,0.2596711684781052,5,69.0,False,,
215.0,6,98.0,10.88888888888889,4.264756400344951,6,99.0,0.2998195155309303,6,99.0,False,,
220.0,7,129.0,14.333333333333334,3.0272791114541264,7,130.0,0.12469458657267772,7,130.0,False,,
225.0,7,164.0,16.4,3.8829730075159814,7,165.0,0.11571444175805042,7,165.0,False,,
230.0,7,199.0,19.9,3.9416613606789483,7,200.0,0.1215921461825036,7,200.0,False,,
235.0,7,234.0,26.0,2.9246865686864902,7,235.0,0.0,7,235.0,False,,
240.0,3,130.0,14.444444444444445,3.3391324820328885,3,200.0,0.15783169031297367,3,200.0,False,,
245.0,3,145.0,16.11111111111111,5.140266231690358,3,176.0,0.25934066314029164,3,176.0,False,,
250.0,4,163.0,18.11111111111111,5.871462644936051,4,194.0,0.1589226425196681,4,194.0,False,,
255.0,4,183.0,18.3,7.707311000081772,4,214.0,0.30979547156353227,4,214.0,False,,
260.0,3,190.0,27.142857142857142,5.812804469753275,3,190.0,0.24696870251971756,3,190.0,False,,
265.0,3,205.0,34.166666666666664,5.083902333555538,3,205.0,0.24131265563046644,3,205.0,False,,
270.0,3,220.0,36.666666666666664,5.828006395859593,3,220.0,0.0,3,220.0,False,,
275.0,3,235.0,47.0,4.8372196516304395,3,235.0,0.0,3,235.0,False,,
280.0,3,250.0,83.33333333333333,0.0,3,250.0,0.0,3,250.0,False,,
285.0,3,265.0,88.33333333333333,0.0,3,265.0,0.0,3,265.0,False,,
290.0,3,280.0,70.0,2.6539648397592828,3,280.0,0.18476168210261318,3,280.0,False,,
295.0,3,295.0,49.166666666666664,6.591173464402904,3,295.0,0.46437291871451203,3,295.0,False,,
300.0,3,310.0,44.285714285714285,7.424730389339652,3,310.0,0.4770563127197249,3,310.0,False,,
305.0,4,326.0,40.75,6.409848801347631,4,326.0,0.2842943280350756,4,326.0,False,,
310.0,4,346.0,38.44444444444444,7.454399607194394,4,346.0,0.4233481337262955,4,346.0,False,,
315.0,5,367.0,45.875,4.491259855561341,5,367.0,0.26091040387914155,5,367.0,False,,
320.0,5,392.0,43.55555555555556,5.005585782485492,5,392.0,0.22388146259610084,5,392.0,False,,
325.0,4,406.0,40.6,5.102035376359214,4,407.0,0.27107210802067905,4,407.0,False,,
330.0,4,426.0,42.6,4.700871755464331,4,426.0,0.26687490838275946,4,426.0,False,,
335.0,5,450.0,50.0,4.764247511459583,5,450.0,0.16310132337732555,5,450.0,False,,
340.0,5,475.0,47.5,6.396783469639017,5,475.0,0.27163294098999163,5,475.0,False,,
345.0,6,502.0,71.71428571428571,1.8223369773410085,6,502.0,0.14001263742988818,6,502.0,False,,
350.0,6,532.0,76.0,0.031887638904797025,6,532.0,0.0024498875922173255,6,532.0,False,,
355.0,5,550.0,68.75,1.8235742951215366,5,553.0,0.1132914681310835,5,553.0,False,,
360.0,5,575.0,71.875,3.389940670460028,5,575.0,0.15802056735598521,5,575.0,False,,
365.0,3,400.0,50.0,2.9006497574211543,3,432.0,0.03191998774490507,3,432.0,False,,
370.0,4,418.0,46.44444444444444,5.09605334248081,4,418.0,0.19305742220844813,4,418.0,False,,
375.0,3,430.0,53.75,5.452923249919284,3,430.0,0.3633066474737549,3,430.0,False,,
380.0,4,446.0,44.6,6.688595336055544,4,446.0,0.3942114372315591,4,446.0,False,,
385.0,4,466.0,46.6,7.4757292848675885,4,466.0,0.466062282279698,4,466.0,False,,
390.0,5,487.0,40.583333333333336,7.230923730735796,5,487.0,0.3526865236096405,5,487.0,False,,
395.0,4,492.0,44.72727272727273,5.2375040350157525,4,498.0,0.26027173976251505,4,498.0,False,,
400.0,4,512.0,46.54545454545455,5.868930014616899,4,514.0,0.30002189197533874,4,514.0,False,,
405.0,4,523.0,47.54545454545455,5.617551039790451,4,525.0,0.30627584151048665,4,525.0,False,,
410.0,5,545.0,54.5,5.095294120048851,5,547.0,0.1614154216816801,5,547.0,False,,
415.0,3,550.0,55.0,5.5971185968083494,3,555.0,0.2151387888425147,3,555.0,False,,
420.0,3,565.0,51.36363636363637,6.89882166458703,3,565.0,0.4632449523649132,3,565.0,False,,
425.0,4,584.0,53.09090909090909,6.16788661258943,4,584.0,0.4050744503029036,4,584.0,False,,
430.0,5,609.0,50.75,7.1349813226991605,5,609.0,0.38587610921683285,5,609.0,False,,
435.0,4,611.0,55.54545454545455,4.355921198216589,4,620.0,0.23950108395839534,4,620.0,False,,
440.0,4,626.0,62.6,4.13616259116412,4,627.0,0.2044765960278164,4,627.0,False,,
445.0,4,641.0,64.1,5.317848122885328,4,642.0,0.0008726914840856884,4,642.0,False,,
450.0,4,661.0,66.1,6.827299347945795,4,662.0,0.0,4,662.0,False,,
455.0,4,681.0,85.125,5.198527297249381,4,682.0,0.27279479208627505,4,682.0,False,,
460.0,4,701.0,77.88888888888889,6.712478633955879,4,702.0,0.43749622017688916,4,702.0,False,,
465.0,4,721.0,72.1,7.997186008476838,4,722.0,0.3986247985814056,4,722.0,False,,
470.0,4,741.0,61.75,7.323507478925182,4,742.0,0.4394874277146271,4,742.0,False,,
475.0,5,765.0,63.75,7.091728703249216,5,766.0,0.43536056423274133,5,766.0,False,,
480.0,4,754.0,58.0,5.709653790450602,4,756.0,0.42152519595841176,4,756.0,False,,
485.0,5,778.0,55.57142857142857,6.14655702647443,5,778.0,0.44116466640292357,5,778.0,False,,
490.0,6,799.0,53.266666666666666,6.221917027427992,6,799.0,0.38216049205632485,6,799.0,False,,
495.0,8,832.0,55.46666666666667,4.699738715761593,8,832.0,0.19666261664654802,8,832.0,False,,
500.0,5,837.0,59.785714285714285,3.744338409726961,5,852.0,0.24603305635504952,5,852.0,False,,
505.0,5,857.0,50.411764705882355,6.312061833911501,5,866.0,0.41209240176625217,5,866.0,False,,
510.0,6,846.0,52.875,5.018961745035673,6,855.0,0.2788574485460344,6,855.0,False,,
515.0,8,886.0,55.375,4.9181909655993445,8,895.0,0.06769308884804492,8,895.0,False,,
520.0,7,900.0,60.0,4.285654273351154,7,921.0,0.15778610203118817,7,921.0,False,,
525.0,7,935.0,66.78571428571429,4.671440216408831,7,948.0,0.28323311779159455,7,948.0,False,,
530.0,4,897.0,64.07142857142857,3.98100253172872,4,942.0,0.24810442443300462,4,942.0,False,,
535.0,4,917.0,57.3125,5.96965807640418,4,940.0,0.38257535303368345,4,940.0,False,,
540.0,5,930.0,66.42857142857143,4.726127993510543,5,949.0,0.26189992082126096,5,949.0,False,,
