step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,10.0,0,0.0,0.7918816295340173,0,0.0,False,,
25.0,0,0.0,0.0,12.548937928975187,0,0.0,0.9937273416118106,0,0.0,False,,
30.0,0,0.0,0.0,12.129443654902838,0,0.0,0.9605083606785505,0,0.0,False,,
35.0,1,2.0,2.0,0.0016829601177663505,1,2.0,0.00013327052004975793,1,2.0,False,,
40.0,1,7.0,3.5,6.122958964487594,1,7.0,0.4967865624531014,1,7.0,False,,
45.0,0,0.0,0.0,7.2803821564086135,0,0.0,0.959537437325435,0,0.0,False,,
50.0,0,0.0,0.0,3.8868034171682604,0,0.0,0.0652974562979199,0,0.0,False,,
55.0,1,4.0,2.0,5.7561658159755655,1,4.0,1.8302884936372226e-05,1,4.0,False,,
60.0,1,9.0,4.5,6.172188957860041,1,9.0,0.0,1,9.0,False,,
65.0,1,14.0,14.0,0.0,1,14.0,0.0,1,14.0,False,,
70.0,0,0.0,0.0,2.0807622141437605,0,0.0,1.0,0,0.0,False,,
75.0,0,0.0,0.0,6.430837684078142,0,0.0,1.0,0,0.0,False,,
80.0,0,0.0,0.0,10.861402540234849,0,0.0,1.0,0,0.0,False,,
85.0,0,0.0,0.0,12.262951357045324,0,0.0,1.0,0,0.0,False,,
90.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
95.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
100.0,0,0.0,0.0,10.812049675732851,0,0.0,0.7981724231329603,0,0.0,False,,
105.0,0,0.0,0.0,13.124252543241942,0,0.0,0.9506766490883037,0,0.0,False,,
110.0,0,0.0,0.0,9.321363664112095,0,0.0,0.6663967134346426,0,0.0,False,,
115.0,3,6.0,1.5,3.0293584497604336,3,6.0,0.21818174355408337,3,6.0,False,,
120.0,3,21.0,5.25,3.4407801301535312,3,21.0,0.24781073066369633,3,21.0,False,,
125.0,3,36.0,9.0,0.045780990530054994,3,36.0,0.003297223386736561,3,36.0,False,,
130.0,3,51.0,12.75,0.6070589974766036,3,51.0,0.0,3,51.0,False,,
135.0,3,66.0,13.2,3.8534106622272284,3,66.0,0.2302618239460007,3,66.0,False,,
140.0,3,81.0,16.2,4.318230999264076,3,81.0,0.20808194165297786,3,81.0,False,,
145.0,4,98.0,19.6,2.7379006059111424,4,98.0,0.0002757513795797389,4,98.0,False,,
150.0,4,118.0,29.5,0.0,4,118.0,0.0,4,118.0,False,,
155.0,4,138.0,34.5,0.0,4,138.0,0.0,4,138.0,False,,
160.0,4,158.0,39.5,0.0,4,158.0,0.0,4,158.0,False,,
165.0,4,178.0,35.6,2.4507596168899908,4,178.0,0.18026136540525206,4,178.0,False,,
170.0,4,198.0,39.6,2.645362685309939,4,198.0,0.19457505597844146,4,198.0,False,,
175.0,4,218.0,31.142857142857142,5.137943409510511,4,218.0,0.2823275670517375,4,218.0,False,,
180.0,4,238.0,34.0,5.75584538688392,4,238.0,0.3322503231609683,4,238.0,False,,
185.0,4,258.0,36.857142857142854,2.9527403531759044,4,258.0,0.21117152463191058,4,258.0,False,,
190.0,5,283.0,35.375,3.6226009761584113,5,283.0,0.2296239337168894,5,283.0,False,,
195.0,5,308.0,38.5,4.636829002039439,5,308.0,0.26293752005545934,5,308.0,False,,
200.0,2,103.0,12.875,4.834855270255813,2,158.0,0.10200115951090163,2,158.0,False,,
205.0,2,113.0,12.555555555555555,6.612789032527015,2,113.0,0.38769315339530785,2,113.0,False,,
210.0,2,123.0,13.666666666666666,8.807260347576788,2,123.0,0.5489209517246457,2,123.0,False,,
215.0,2,133.0,11.083333333333334,9.257611722478831,2,133.0,0.5175451931106881,2,133.0,False,,
220.0,2,143.0,17.875,5.445137895067454,2,143.0,0.4382233935209277,2,143.0,False,,
225.0,3,157.0,17.444444444444443,5.232417398215435,3,157.0,0.2875745370860196,3,157.0,False,,
230.0,5,178.0,16.181818181818183,6.345636942915186,5,178.0,0.336316571681761,5,178.0,False,,
235.0,5,203.0,15.615384615384615,6.701945128245058,5,203.0,0.3414051146704434,5,203.0,False,,
240.0,5,228.0,22.8,3.1217433272646486,5,228.0,0.23298652479214382,5,228.0,False,,
245.0,5,253.0,25.3,2.827644931828849,5,253.0,0.15819449615016054,5,253.0,False,,
250.0,4,208.0,14.857142857142858,5.250964887536698,4,230.0,0.38053589799591403,4,230.0,False,,
255.0,4,228.0,14.25,7.499040628409048,4,228.0,0.5182701669150758,4,228.0,False,,
260.0,4,29.0,1.9333333333333333,6.005668042531012,4,29.0,0.3785676079954967,4,29.0,False,,
265.0,5,52.0,3.466666666666667,6.036006130337585,5,52.0,0.17703060353247668,5,52.0,False,,
270.0,4,36.0,2.769230769230769,4.9815138377902395,4,56.0,0.1370368185256588,4,56.0,False,,
275.0,4,56.0,4.0,6.915430686161634,4,57.0,0.34886861307928796,4,57.0,False,,
280.0,2,21.0,1.9090909090909092,5.89907064290268,2,34.0,0.3432580376027692,2,34.0,False,,
285.0,3,36.0,3.6,5.822084676423593,3,37.0,0.2052562525319753,3,37.0,False,,
290.0,4,29.0,3.625,3.928494957829029,4,30.0,3.798773457261898e-05,4,30.0,False,,
295.0,4,49.0,4.454545454545454,7.2386745461387845,4,50.0,0.3178216847539225,4,50.0,False,,
300.0,2,26.0,2.6,8.033465214033914,2,26.0,0.6235703637408359,2,26.0,False,,
305.0,3,37.0,2.8461538461538463,6.888056135367825,3,37.0,0.5005345954990217,3,37.0,False,,
310.0,3,28.0,2.0,6.4071786648497895,3,31.0,0.5168344558960842,3,31.0,False,,
315.0,3,43.0,3.0714285714285716,6.69325740414749,3,43.0,0.4321875514651965,3,43.0,False,,
320.0,3,10.0,0.7142857142857143,4.662004328938627,3,22.0,0.21710100789017492,3,22.0,False,,
325.0,4,30.0,2.0,7.3763785439913105,4,30.0,0.36379842047906363,4,30.0,False,,
330.0,3,19.0,1.4615384615384615,5.666893126539962,3,38.0,0.3199734590765653,3,38.0,False,,
335.0,2,28.0,2.1538461538461537,7.876095253366738,2,38.0,0.3766525818729091,2,38.0,False,,
340.0,4,20.0,2.0,3.4266629701132993,4,30.0,0.14978155844751112,4,30.0,False,,
345.0,6,50.0,5.0,4.025421218968082,6,60.0,0.14001310504004702,6,60.0,False,,
350.0,3,35.0,3.888888888888889,3.0924377462096277,3,54.0,0.026191409142739284,3,54.0,False,,
355.0,2,44.0,4.888888888888889,5.622769047391225,2,54.0,0.2868599188985648,2,54.0,False,,
360.0,4,60.0,6.666666666666667,5.720488319734382,4,70.0,0.27007060313773695,4,70.0,False,,
365.0,5,82.0,8.2,6.223336225952929,5,92.0,0.26028363074234095,5,92.0,False,,
370.0,3,81.0,11.571428571428571,4.394209666103657,3,92.0,0.3435349262879342,3,92.0,False,,
375.0,3,96.0,13.714285714285714,4.4233115679700035,3,96.0,0.10353718438584651,3,96.0,False,,
380.0,1,54.0,7.714285714285714,5.706991664720152,1,69.0,0.04335520043848226,1,69.0,False,,
385.0,1,59.0,7.375,8.394930665793716,1,59.0,0.5436029692421647,1,59.0,False,,
390.0,1,64.0,9.142857142857142,9.830234764062132,1,64.0,0.7010477009307504,1,64.0,False,,
395.0,2,70.0,10.0,9.195740177330856,2,70.0,0.48905722299873083,2,70.0,False,,
400.0,2,76.0,15.2,2.753171977808364,2,76.0,0.1798288137411562,2,76.0,False,,
405.0,2,86.0,17.2,4.884831187464368,2,86.0,0.27454855683838403,2,86.0,False,,
410.0,2,96.0,16.0,6.399252317441537,2,96.0,0.3314102814059505,2,96.0,False,,
415.0,3,110.0,18.333333333333332,6.683631716817795,3,110.0,0.24271712392387912,3,110.0,False,,
420.0,1,94.0,23.5,0.861795953417766,1,101.0,0.030870233015604653,1,101.0,False,,
425.0,1,99.0,14.142857142857142,7.0382417925827285,1,99.0,0.5433142012931264,1,99.0,False,,
430.0,2,107.0,15.285714285714286,8.36349728519441,2,107.0,0.5779167596521394,2,107.0,False,,
435.0,3,119.0,14.875,5.35125292533042,3,119.0,0.21641537192930652,3,119.0,False,,
440.0,2,119.0,11.9,6.652618160763853,2,121.0,0.4998506498646301,2,121.0,False,,
445.0,2,129.0,12.9,7.450359507388422,2,129.0,0.6090917380493357,2,129.0,False,,
450.0,4,143.0,13.0,5.903578343695836,4,143.0,0.35614034227465585,4,143.0,False,,
455.0,6,169.0,14.083333333333334,5.199136056521044,6,169.0,0.20781524481308405,6,169.0,False,,
460.0,4,175.0,17.5,3.3890711230533626,4,184.0,0.1581414790499458,4,184.0,False,,
465.0,5,199.0,22.11111111111111,2.47955712986383,5,199.0,0.07191727931312068,5,199.0,False,,
470.0,3,155.0,14.090909090909092,5.057526942213776,3,170.0,0.27311945101645096,3,170.0,False,,
475.0,3,170.0,10.625,8.850681084589159,3,170.0,0.641637153875579,3,170.0,False,,
480.0,4,186.0,12.4,7.287152112738919,4,186.0,0.5175761147602275,4,186.0,False,,
485.0,7,214.0,14.266666666666667,5.612545936775452,7,214.0,0.24216719088138106,7,214.0,False,,
490.0,3,198.0,12.375,4.591488621384063,3,218.0,0.2606567958713207,3,218.0,False,,
495.0,4,218.0,12.823529411764707,6.210996551857718,4,226.0,0.3956262766769236,4,226.0,False,,
500.0,7,245.0,15.3125,4.548099280478143,7,253.0,0.17823689352267025,7,253.0,False,,
505.0,11,294.0,18.375,3.2583439123713083,11,302.0,0.0009610335541038016,11,302.0,False,,
510.0,7,297.0,21.214285714285715,2.3041339306992397,7,323.0,0.1631583163863586,7,323.0,False,,
515.0,7,332.0,20.75,4.71809249158294,7,341.0,0.30349977189957333,7,341.0,False,,
520.0,5,291.0,17.11764705882353,5.052550633974393,5,327.0,0.24697718692538126,5,327.0,False,,
525.0,5,316.0,16.63157894736842,6.618502306061134,5,325.0,0.3290243972806705,5,325.0,False,,
530.0,5,30.0,1.875,5.251248547270466,5,150.0,0.2694688513082299,5,150.0,False,,
